epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1141.07,0.83755,0.77485,1.36696,0.80655,0.7971,0.85659,0.57075,1.13182,0.85357,1.65923,0.0003095,0.0003095,0.0003095
40,1170.14,0.82857,0.77653,1.35815,0.83579,0.78061,0.8596,0.56605,1.13471,0.86115,1.64572,0.00028475,0.00028475,0.00028475
41,1233.3,0.78818,0.60182,1.47187,0.82189,0.76767,0.8501,0.56129,1.14334,0.86214,1.65089,0.00026,0.00026,0.00026
42,1262.6,0.76228,0.56697,1.4377,0.85654,0.79231,0.86422,0.58104,1.10665,0.82106,1.62709,0.00023525,0.00023525,0.00023525
43,1291.72,0.74401,0.55205,1.42902,0.82051,0.80514,0.86419,0.58024,1.0981,0.81603,1.61624,0.0002105,0.0002105,0.0002105
44,1320.67,0.73847,0.53778,1.42165,0.83963,0.81972,0.87601,0.58549,1.09993,0.7914,1.62778,0.00018575,0.00018575,0.00018575
45,1349.84,0.71806,0.5268,1.39738,0.82997,0.79794,0.86838,0.57158,1.11924,0.81214,1.63826,0.000161,0.000161,0.000161
46,1379.06,0.70648,0.52001,1.38483,0.824,0.82736,0.86714,0.58611,1.10626,0.7926,1.62264,0.00013625,0.00013625,0.00013625
47,1408.1,0.70329,0.49585,1.38803,0.8113,0.84088,0.87114,0.58499,1.09431,0.78766,1.61743,0.0001115,0.0001115,0.0001115
48,1437.3,0.69822,0.48692,1.37479,0.84651,0.81998,0.87877,0.58599,1.10286,0.78659,1.63146,8.675e-05,8.675e-05,8.675e-05
49,1466.26,0.69084,0.48418,1.37315,0.82667,0.83186,0.87171,0.5858,1.08937,0.7742,1.61744,6.2e-05,6.2e-05,6.2e-05
50,1495.36,0.67983,0.47174,1.36495,0.82999,0.82937,0.8732,0.59025,1.08213,0.78098,1.60989,3.725e-05,3.725e-05,3.725e-05
