epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0696,1.09288,2.23368,1.57114,0.65257,0.61185,0.63926,0.34427,1.40454,1.83768,1.98984,0.000414485,0.000414485,0.000414485
2,62.9068,1.1702,1.76959,1.62995,0.5696,0.48806,0.5168,0.23406,1.73432,2.1082,2.30531,0.000814695,0.000814695,0.000814695
3,92.0792,1.21479,1.66816,1.65722,0.47754,0.45597,0.423,0.20165,1.76732,2.12759,2.35086,0.0011984,0.0011984,0.0011984
4,121.158,1.19489,1.56167,1.63715,0.54557,0.55236,0.54446,0.2649,1.62175,1.78034,2.27481,0.00117575,0.00117575,0.00117575
5,150.387,1.17748,1.47225,1.62101,0.53048,0.562,0.53267,0.27544,1.58032,1.85308,2.16273,0.001151,0.001151,0.001151
6,179.682,1.14264,1.3854,1.59575,0.59172,0.55189,0.56236,0.2936,1.55753,1.8594,2.09744,0.00112625,0.00112625,0.00112625
7,208.811,1.12839,1.32155,1.59485,0.50865,0.52232,0.50508,0.27098,1.5335,1.99009,2.10842,0.0011015,0.0011015,0.0011015
8,237.889,1.0985,1.29619,1.56945,0.71019,0.6592,0.71223,0.38848,1.46802,1.36057,2.02415,0.00107675,0.00107675,0.00107675
9,266.954,1.09084,1.23774,1.55294,0.69562,0.65968,0.7146,0.39124,1.46787,1.34873,2.04187,0.001052,0.001052,0.001052
10,296.524,1.05954,1.21665,1.52894,0.74189,0.65942,0.72352,0.41417,1.43737,1.29931,1.99315,0.00102725,0.00102725,0.00102725
11,325.988,1.05778,1.1595,1.53183,0.74337,0.63135,0.70925,0.41281,1.37146,1.28505,1.8747,0.0010025,0.0010025,0.0010025
12,355.263,1.0503,1.14482,1.52331,0.68291,0.64381,0.7084,0.42943,1.41293,1.34766,1.93496,0.00097775,0.00097775,0.00097775
13,384.315,1.02545,1.11104,1.49941,0.71085,0.71557,0.76617,0.44258,1.38055,1.15808,1.94279,0.000953,0.000953,0.000953
14,413.417,1.01458,1.10595,1.4961,0.75095,0.71335,0.78062,0.45649,1.36862,1.17865,1.8838,0.00092825,0.00092825,0.00092825
15,442.434,0.99938,1.07559,1.48684,0.73689,0.69785,0.76064,0.46172,1.34917,1.17539,1.87273,0.0009035,0.0009035,0.0009035
16,471.502,1.01288,1.06011,1.49521,0.74344,0.69911,0.7621,0.46056,1.35004,1.1551,1.89199,0.00087875,0.00087875,0.00087875
17,500.675,1.00651,1.04871,1.48929,0.78441,0.71974,0.80099,0.50076,1.25519,1.0668,1.78686,0.000854,0.000854,0.000854
18,529.89,0.97093,1.01085,1.46578,0.78061,0.72552,0.79094,0.4785,1.33129,1.09292,1.85526,0.00082925,0.00082925,0.00082925
19,558.901,0.95971,0.97877,1.45914,0.80189,0.73617,0.80428,0.5063,1.27376,1.025,1.80316,0.0008045,0.0008045,0.0008045
20,587.954,0.97002,0.99762,1.46047,0.78067,0.72124,0.77859,0.47671,1.33784,1.12045,1.83471,0.00077975,0.00077975,0.00077975
21,616.978,0.96815,0.98493,1.45854,0.76088,0.78995,0.8299,0.51908,1.26426,0.97659,1.78875,0.000755,0.000755,0.000755
22,645.913,0.9531,0.94985,1.44807,0.79137,0.75812,0.81871,0.52551,1.22759,0.95968,1.73519,0.00073025,0.00073025,0.00073025
23,675.166,0.95412,0.95164,1.45223,0.76584,0.75653,0.81053,0.51028,1.26614,1.03127,1.76917,0.0007055,0.0007055,0.0007055
24,704.203,0.93471,0.93412,1.43609,0.76111,0.77663,0.82461,0.53512,1.1918,0.9759,1.70685,0.00068075,0.00068075,0.00068075
25,733.225,0.91385,0.89901,1.42345,0.78074,0.71233,0.80328,0.5146,1.23712,1.0557,1.7401,0.000656,0.000656,0.000656
26,762.181,0.91835,0.90331,1.4169,0.79379,0.72875,0.81538,0.51903,1.24507,0.99022,1.74821,0.00063125,0.00063125,0.00063125
27,791.245,0.91024,0.89209,1.40851,0.75784,0.73625,0.79498,0.51211,1.22364,1.00177,1.72889,0.0006065,0.0006065,0.0006065
28,820.671,0.92379,0.87518,1.41936,0.79203,0.71187,0.781,0.48764,1.30038,1.02532,1.81723,0.00058175,0.00058175,0.00058175
29,849.837,0.89301,0.87245,1.40834,0.8174,0.73381,0.83863,0.54862,1.16767,0.96617,1.67842,0.000557,0.000557,0.000557
30,879.024,0.8913,0.8476,1.40094,0.80024,0.78386,0.83855,0.54311,1.17772,0.93176,1.69079,0.00053225,0.00053225,0.00053225
31,908.322,0.88055,0.82315,1.38761,0.8421,0.7515,0.84042,0.55345,1.17349,0.91251,1.67744,0.0005075,0.0005075,0.0005075
32,937.517,0.8735,0.83521,1.38877,0.823,0.71671,0.82029,0.52818,1.21418,1.00075,1.71095,0.00048275,0.00048275,0.00048275
33,966.445,0.87268,0.82783,1.39269,0.80449,0.75192,0.83218,0.54643,1.15544,0.92254,1.66811,0.000458,0.000458,0.000458
34,995.541,0.87423,0.81626,1.38657,0.80042,0.78927,0.8492,0.55903,1.16639,0.89697,1.66789,0.00043325,0.00043325,0.00043325
35,1024.71,0.85905,0.78465,1.3732,0.80265,0.7995,0.85336,0.55862,1.1572,0.88012,1.66433,0.0004085,0.0004085,0.0004085
36,1053.82,0.85357,0.78592,1.37655,0.78528,0.82326,0.86506,0.56823,1.16346,0.87638,1.67559,0.00038375,0.00038375,0.00038375
37,1083.04,0.84696,0.77148,1.36311,0.8083,0.82643,0.87062,0.57168,1.14063,0.85131,1.64964,0.000359,0.000359,0.000359
38,1112.06,0.84238,0.77016,1.35868,0.80843,0.794,0.85334,0.56481,1.15068,0.86202,1.66191,0.00033425,0.00033425,0.00033425
