epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5104,0.83174,2.00226,1.35529,0.72934,0.74711,0.7738,0.50718,1.10192,1.48792,1.61889,0.000368723,0.000368723,0.000368723
2,128.805,0.87526,1.25287,1.38045,0.71144,0.73783,0.76203,0.47917,1.1962,1.22339,1.70086,0.000714668,0.000714668,0.000714668
3,190.503,0.89993,1.13522,1.39402,0.71227,0.65624,0.71436,0.44216,1.24768,1.33306,1.78376,0.00103617,0.00103617,0.00103617
4,251.756,0.92028,1.1182,1.40798,0.73791,0.70414,0.75259,0.47465,1.22169,1.19799,1.72526,0.00100101,0.00100101,0.00100101
5,313.367,0.91343,1.05786,1.40693,0.70668,0.64668,0.70001,0.44365,1.20775,1.23809,1.7097,0.000964348,0.000964348,0.000964348
6,374.846,0.92352,1.03048,1.4154,0.7612,0.69269,0.75988,0.48795,1.21249,1.16051,1.74007,0.000927685,0.000927685,0.000927685
7,436.522,0.89148,0.99886,1.39883,0.71717,0.73356,0.74662,0.48386,1.19443,1.13338,1.68432,0.000891022,0.000891022,0.000891022
8,497.553,0.89758,0.99588,1.39586,0.7272,0.70516,0.77157,0.50431,1.17842,1.10436,1.67686,0.000854359,0.000854359,0.000854359
9,558.652,0.87845,0.95259,1.38504,0.71563,0.7436,0.77569,0.50652,1.13808,1.10919,1.63409,0.000817696,0.000817696,0.000817696
10,619.89,0.87668,0.93799,1.38207,0.77266,0.71916,0.78859,0.51939,1.13259,1.05424,1.63977,0.000781033,0.000781033,0.000781033
11,681.418,0.86255,0.90558,1.36738,0.76126,0.74483,0.78969,0.53017,1.0992,1.04568,1.61523,0.00074437,0.00074437,0.00074437
12,742.837,0.867,0.90138,1.37414,0.73698,0.74538,0.80506,0.53089,1.118,1.02556,1.61998,0.000707707,0.000707707,0.000707707
13,804.148,0.85258,0.87289,1.3663,0.74449,0.73836,0.78398,0.51737,1.13062,1.06512,1.61761,0.000671044,0.000671044,0.000671044
14,865.292,0.85111,0.88184,1.35879,0.76708,0.76198,0.79579,0.53666,1.09296,1.01025,1.60943,0.000634381,0.000634381,0.000634381
15,926.834,0.84509,0.85927,1.35836,0.79446,0.73982,0.81768,0.54062,1.12815,0.98378,1.63498,0.000597718,0.000597718,0.000597718
16,988.083,0.82452,0.83327,1.34188,0.76384,0.79137,0.83011,0.54887,1.11928,0.94391,1.61429,0.000561055,0.000561055,0.000561055
17,1049.54,0.81838,0.82856,1.33479,0.76296,0.74196,0.79273,0.53732,1.08579,1.00623,1.58707,0.000524392,0.000524392,0.000524392
18,1110.9,0.81386,0.7981,1.33382,0.78663,0.72462,0.80401,0.54409,1.09934,0.99948,1.60299,0.000487729,0.000487729,0.000487729
19,1172.26,0.80884,0.7955,1.32852,0.82947,0.73546,0.82836,0.56741,1.08839,0.91804,1.58641,0.000451066,0.000451066,0.000451066
20,1233.38,0.80691,0.78331,1.32979,0.75804,0.77512,0.81348,0.54529,1.09294,0.96444,1.60743,0.000414403,0.000414403,0.000414403
21,1313.58,0.76296,0.64113,1.42297,0.76597,0.74865,0.80036,0.54648,1.09072,0.97249,1.58485,0.00037774,0.00037774,0.00037774
22,1374.82,0.73912,0.60407,1.4053,0.76667,0.77342,0.82237,0.5614,1.05388,0.9242,1.55829,0.000341077,0.000341077,0.000341077
23,1436.7,0.71119,0.58227,1.3836,0.81623,0.76947,0.83403,0.57328,1.03904,0.89575,1.54415,0.000304414,0.000304414,0.000304414
24,1497.74,0.69667,0.54492,1.36264,0.77886,0.7858,0.82429,0.56645,1.03801,0.88564,1.53994,0.000267751,0.000267751,0.000267751
25,1558.67,0.69178,0.54813,1.35419,0.74587,0.79174,0.82006,0.57111,1.03433,0.92575,1.54701,0.000231088,0.000231088,0.000231088
26,1619.76,0.67304,0.51404,1.34414,0.75503,0.77819,0.81852,0.56981,1.02925,0.91252,1.54883,0.000194425,0.000194425,0.000194425
27,1680.94,0.66234,0.50128,1.33121,0.80803,0.78078,0.84074,0.58438,1.02469,0.86455,1.53802,0.000157762,0.000157762,0.000157762
28,1742.2,0.65401,0.49194,1.33162,0.80993,0.7706,0.8356,0.58232,1.02048,0.86476,1.52863,0.000121099,0.000121099,0.000121099
29,1803.41,0.63801,0.4749,1.30792,0.79431,0.77926,0.83785,0.58085,1.03062,0.87434,1.54321,8.4436e-05,8.4436e-05,8.4436e-05
30,1864.11,0.62735,0.46488,1.29545,0.81813,0.76342,0.83854,0.58323,1.02854,0.874,1.54308,4.7773e-05,4.7773e-05,4.7773e-05
