epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8063,0.80714,0.82347,1.34541,0.8179,0.76554,0.82399,0.56682,1.16769,0.88964,1.65898,0.000368875,0.000368875,0.000368875
2,89.4502,0.80849,0.79758,1.34233,0.8302,0.74095,0.82244,0.55276,1.17103,0.95204,1.65613,0.000714815,0.000714815,0.000714815
3,127.403,0.84028,0.87242,1.36639,0.77163,0.71691,0.76937,0.49834,1.24842,1.09197,1.75817,0.00103631,0.00103631,0.00103631
4,164.573,0.85793,0.90746,1.37464,0.76917,0.73256,0.7962,0.52786,1.22396,1.04224,1.72391,0.00100101,0.00100101,0.00100101
5,201.542,0.8458,0.85783,1.37064,0.74,0.70123,0.76401,0.51105,1.19559,1.13605,1.70927,0.000964348,0.000964348,0.000964348
6,238.776,0.85381,0.86091,1.37982,0.79761,0.74588,0.80817,0.53627,1.18162,0.98591,1.66247,0.000927685,0.000927685,0.000927685
7,276.029,0.83033,0.8425,1.36306,0.79957,0.72737,0.80334,0.54382,1.19112,0.98435,1.68016,0.000891022,0.000891022,0.000891022
8,312.918,0.85555,0.87116,1.38109,0.80154,0.73719,0.80326,0.53668,1.1733,1.00351,1.65874,0.000854359,0.000854359,0.000854359
9,349.929,0.82998,0.8463,1.36141,0.76563,0.73031,0.78464,0.52216,1.21351,1.02541,1.70826,0.000817696,0.000817696,0.000817696
10,387.013,0.81928,0.81334,1.34803,0.7927,0.73724,0.79098,0.5274,1.19935,1.02286,1.70628,0.000781033,0.000781033,0.000781033
11,424.273,0.80933,0.81008,1.34088,0.82263,0.74054,0.81571,0.5513,1.18978,0.93858,1.68002,0.00074437,0.00074437,0.00074437
12,461.807,0.81556,0.8088,1.35087,0.79944,0.73991,0.80752,0.53511,1.21717,0.97668,1.70883,0.000707707,0.000707707,0.000707707
13,499.421,0.80162,0.79279,1.33302,0.78757,0.7415,0.80755,0.54819,1.16292,0.9618,1.65252,0.000671044,0.000671044,0.000671044
14,536.41,0.7888,0.79111,1.32881,0.80239,0.7746,0.82159,0.55826,1.14721,0.92912,1.64469,0.000634381,0.000634381,0.000634381
15,573.487,0.78875,0.78413,1.32708,0.84045,0.72465,0.80339,0.54983,1.16335,0.97811,1.64723,0.000597718,0.000597718,0.000597718
16,610.704,0.77308,0.73972,1.31037,0.80837,0.77712,0.83243,0.57822,1.12754,0.92071,1.62693,0.000561055,0.000561055,0.000561055
17,647.831,0.77689,0.76077,1.31753,0.83688,0.77321,0.84574,0.58612,1.13094,0.87208,1.61859,0.000524392,0.000524392,0.000524392
18,684.784,0.77514,0.75694,1.3168,0.81281,0.78462,0.83167,0.57458,1.13704,0.89115,1.63104,0.000487729,0.000487729,0.000487729
19,721.927,0.76517,0.71952,1.30383,0.8228,0.77049,0.8225,0.56382,1.15494,0.88536,1.62511,0.000451066,0.000451066,0.000451066
20,759.399,0.75289,0.71034,1.29883,0.82199,0.76242,0.82353,0.57034,1.16759,0.92772,1.64445,0.000414403,0.000414403,0.000414403
